ID,Kamtapuri Sentence,English Hint,Masked Prompt,Target (Kamta),Target (Bengali)
B1,সাকালে জাগি।,(In the morning),[MASK] (In the morning) জাগি।,সাকালে,সকালে
B2,পাহাড়োত কামাই করিবার গেইছে।,(In the hills),[MASK] (In the hills) কামাই করিবার গেইছে।,পাহাড়োত,পাহাড়ে
B3,হামার তো ভালে হছে।,(Our),[MASK] (Our) তো ভালে হছে।,হামার,আমাদের
B4,বাপ বড়য় কষ্ট পাছে।,(Very),বাপ [MASK] (Very) কষ্ট পাছে।,বড়য়,বড়ই/খুব
B5,বুলিয়া ভাবিলে কি চলে।,(Because/Saying),[MASK] (Because) ভাবিলে কি চলে।,বুলিয়া,বলে
B6,অইন্য পাখে মন দেন না।,(Other),[MASK] (Other) পাখে মন দেন না।,অইন্য,অন্য
B7,বাপ মার কাথা বোদায় ভাবা না যায়?,(Probably/Maybe),বাপ মার কাথা [MASK] (Maybe) ভাবা না যায়?,বোদায়,বোধহয়
B8,মানষি হবার না পাইস।,(Human/Man),[MASK] (Human) হবার না পাইস।,মানষি,মানুষ
B9,মোক খীপ ভাল নাগিলেক।,(Me),[MASK] (Me) খীপ ভাল নাগিলেক।,মোক,আমাকে
B10,মোক খীপ ভাল নাগিলেক।,(Very),মোক [MASK] (Very) ভাল নাগিলেক।,খীপ,খুব
B11,মোর মাও স্বর্গের নাখান।,(My),[MASK] (My) মাও স্বর্গের নাখান।,মোর,আমার
B12,মোর মাও স্বর্গের নাখান।,(Mother),মোর [MASK] (Mother) স্বর্গের নাখান।,মাও,মা
B13,বাউকচা বাড়িখানোত পকির গান।,(Crooked/Left),[MASK] (Left-side) বাড়িখানোত পকির গান।,বাউকচা,বাঁকা
B14,বাউকচা বাড়িখানোত পকির গান।,(Bird's),বাউকচা বাড়িখানোত [MASK] (Bird's) গান।,পকির,পাখির
B15,একেকটা পখির একেক রকম গালার গান।,(Voice/Throat),একেকটা পখির একেক রকম [MASK] (Throat) গান।,গালার,গলার
B16,মনটা কছে সারাদিন এটে কোনায় থাকোং।,(Here),মনটা কছে সারাদিন [MASK] (Here) কোনায় থাকোং।,এটে,এখানে
B17,গছ নিমন্তন করে বুলি তো পোকালা আইসে।,(Insects),গছ নিমন্তন করে বুলি তো [MASK] (Insects) আইসে।,পোকালা,পোকারা
B18,শগুনলাকো এলা দেখা যায়না।,(Now),শগুনলাকো [MASK] (Now) দেখা যায়না।,এলা,এখন
B19,কি নলনলা ঢাঙা ঠ্যাং।,(Thin/Lean),কি [MASK] (Thin) ঢাঙা ঠ্যাং।,নলনলা,লিকলিকে
B20,কি নলনলা ঢাঙা ঠ্যাং।,(Long/Tall),কি নলনলা [MASK] (Long) ঠ্যাং।,ঢাঙা,লম্বা
B21,পয়াল লাও কমি গেইছে।,(Animals/Cattle),[MASK] (Animals) লাও কমি গেইছে।,পয়াল,পশু
B22,গছ কাটি ধুয়া করিছে।,(Destroyed/Finished),গছ কাটি [MASK] (Destroyed) করিছে।,ধুয়া,শেষ/ধ্বংস
B23,এইল্যা কাথা সমাজের মানষিক।,(These),[MASK] (These) কাথা সমাজের মানষিক।,এইল্যা,এইগুলো
B24,মুই নিনের ঝোকত ভাবিনু।,(Sleep's),মুই [MASK] (Sleep's) ঝোকত ভাবিনু।,নিনের,ঘুমের
B25,পাছোত বুঝিনু সাংঘাতিক কাজের কাথা।,(Later/After),[MASK] (Later) বুঝিনু সাংঘাতিক কাজের কাথা।,পাছোত,পরে
B26,মুই সংসারটা চলাং।,(Run/Manage),মুই সংসারটা [MASK] (Run)।,চলাং,চালাই
B27,হোটা না হয়!,(That),[MASK] (That) না হয়!,হোটা,ওটা
B28,বায়বাতাসোক অপাতে পেটায়ছে।,(Environment/Air),[MASK] (Environment) অপাতে পেটায়ছে।,বায়বাতাসোক,আবহাওয়াকে
B29,দিগিলা সলসলা ফর্সা।,(Like/Similar),[MASK] (Like) সলসলা ফর্সা।,দিগিলা,দিক/মত
B30,নীলকান্ত শরীল টা যে মোর।,(Body),নীলকান্ত [MASK] (Body) টা যে মোর।,শরীল,শরীর
B31,ছাওয়ালাক বই পড়েবার বাদে।,(Children/Sons),[MASK] (Children) বই পড়েবার বাদে।,ছাওয়ালাক,ছেলেদের
B32,ছাওয়ালাক বই পড়েবার বাদে।,(Reading/To read),ছাওয়ালাক বই [MASK] (To read) বাদে।,পড়েবার,পড়ার
B33,বাপ ভিন দেশ গেইছে।,(Father),[MASK] (Father) ভিন দেশ গেইছে।,বাপ,বাবা
B34,দোনোটা ব্যাটায় সাইন্স নিয়া পড়ে।,(Both),[MASK] (Both) ব্যাটায় সাইন্স নিয়া পড়ে।,দোনোটা,দুজনেই
B35,বাপের আদর পাসুরিবার না পায়।,(Forget),বাপের আদর [MASK] (Forget) না পায়।,পাসুরিবার,ভুলবার
B36,ফির অনুভব করে।,(Feel),ফির [MASK] (Feel) করে।,অনুভব,অনুভব (Same)
B37,ছিনেহ করে বুলিয়ায়।,(Affection/Love),[MASK] (Affection) করে বুলিয়ায়।,ছিনেহ,স্নেহ
